state,,representatives,latitude,longitude
Alabama,AL,7,32.377716,-86.300568
Alaska,AK,1,58.301598,-134.420212
Arizona,AZ,9,33.448143,-112.096962
Arkansas,AR,4,34.746613,-92.288986
California,CA,52,38.576668,-121.493629
Colorado,CO,8,39.739227,-104.984856
Connecticut,CT,5,41.764046,-72.682198
Delaware,DE,1,39.157307,-75.519722
Florida,FL,28,30.438118,-84.281296
Georgia,GA,14,33.749027,-84.388229
Hawaii,HI,2,21.307442,-157.857376
Idaho,ID,2,43.617775,-116.199722
Illinois,IL,17,39.798363,-89.654961
Indiana,IN,9,39.768623,-86.162643
Iowa,IA,4,41.591087,-93.603729
Kansas,KS,4,39.048191,-95.677956
Kentucky,KY,6,38.186722,-84.875374
Louisiana,LA,6,30.457069,-91.187393
Maine,ME,2,44.307167,-69.781693
Maryland,MD,8,38.978764,-76.490936
Massachusetts,MA,9,42.358162,-71.063698
Michigan,MI,13,42.733635,-84.555328
Minnesota,MN,8,44.955097,-93.102211
Mississippi,MS,4,32.303848,-90.182106
Missouri,MO,8,38.579201,-92.172935
Montana,MT,2,46.585709,-112.018417
Nebraska,NE,3,40.808075,-96.699654
Nevada,NV,4,39.163914,-119.766121
New Hampshire,NH,2,43.206898,-71.537994
New Jersey,NJ,12,40.220596,-74.769913
New Mexico,NM,3,35.68224,-105.939728
New York,NY,26,42.652843,-73.757874
North Carolina,NC,14,35.78043,-78.639099
North Dakota,ND,1,46.82085,-100.783318
Ohio,OH,15,39.961346,-82.999069
Oklahoma,OK,5,35.492207,-97.503342
Oregon,OR,6,44.938461,-123.030403
Pennsylvania,PA,17,40.264378,-76.883598
Rhode Island,RI,2,41.830914,-71.414963
South Carolina,SC,7,34.000343,-81.033211
South Dakota,SD,1,44.367031,-100.346405
Tennessee,TN,9,36.16581,-86.784241
Texas,TX,38,30.27467,-97.740349
Utah,UT,4,40.777477,-111.888237
Vermont,VT,1,44.262436,-72.580536
Virginia,VA,11,37.538857,-77.43364
Washington,WA,10,47.035805,-122.905014
West Virginia,WV,2,38.336246,-81.612328
Wisconsin,WI,8,43.074684,-89.384445
Wyoming,WY,1,41.140259,-104.820236
Total ,,435,,
